district_id,pmkisan_eligible,pmkisan_beneficiaries,pmkisan_coverage
76,142092,93548,0.6584
77,116147,81957,0.7057
78,172174,145979,0.8479
79,206492,148816,0.7207
80,207397,149307,0.7199
81,85872,70099,0.8163
82,113709,92810,0.8162
83,32696,21867,0.6689
84,84229,59968,0.712
85,134662,94520,0.7019
86,100419,72713,0.7241
87,613918,501184,0.8164
88,300942,202493,0.6729
89,170305,137659,0.8083
90,77281,56165,0.7268
91,86383,82062,0.95
92,284340,217230,0.764
93,187798,138445,0.7372
94,174964,142200,0.8127
95,160336,115409,0.7198
96,252242,158379,0.6279
97,347511,252595,0.7269
98,1251926,905542,0.7233
99,90727,57570,0.6346
100,227141,173931,0.7658
101,80749,50179,0.6215
102,730574,527426,0.7219
103,93751,74596,0.7957
104,275095,211690,0.7695
105,40708,29245,0.7185
106,629863,444632,0.7059
107,509561,351029,0.6889
108,75060,59199,0.7887
109,42472,35137,0.8274
110,125459,93656,0.7465
111,65670,54479,0.8296
112,42671,37250,0.873
113,11194,9206,0.8226
114,238034,226132,0.95
115,694234,529336,0.7625
116,319657,244718,0.7656
117,200489,150960,0.753
118,110496,76638,0.6936
119,274124,223630,0.8158
120,164447,118741,0.7221
121,127464,95085,0.746
122,620806,463933,0.7473
123,234814,171067,0.7285
124,318387,206418,0.6483
125,370249,278075,0.7511
126,141411,122886,0.869
127,56697,45756,0.8071
128,19778,16991,0.8591
129,120075,99836,0.8315
130,129072,104624,0.8106
131,420631,394616,0.9382
132,56683,45160,0.7967
133,83457,64346,0.771
134,504499,391805,0.7766
135,796938,726422,0.9115
136,36935,29987,0.8119
137,226528,172174,0.7601
138,140876,115646,0.8209
139,568043,428694,0.7547
140,32892,27512,0.8365
141,148955,125351,0.8415
142,87568,65880,0.7523
143,43609,37646,0.8633
144,245155,173210,0.7065
145,202741,165270,0.8152
146,164589,124873,0.7587
147,69300,65833,0.95
148,581455,460564,0.7921
149,140950,104445,0.741
150,533017,387660,0.7273
151,218141,192037,0.8803
152,51340,39678,0.7729
153,46738,32693,0.6995
154,229061,190192,0.8303
155,236460,205223,0.8679
156,140324,118538,0.8447
157,47009,37423,0.7961
158,139291,110723,0.7949
159,313308,254145,0.8112
160,139589,116980,0.838
161,188857,162060,0.8581
162,101648,92661,0.9116
163,61932,48177,0.7779
164,202483,151312,0.7473
165,414472,334993,0.8082
166,120492,104739,0.8693
167,174754,114600,0.6558
168,140571,95976,0.6828
169,276003,237530,0.8606
170,104269,92471,0.8869
171,133189,93934,0.7053
172,346400,273585,0.7898
173,74410,57415,0.7716
174,166485,130034,0.7811
175,46843,38229,0.8161
176,112490,77684,0.6906
177,128554,89749,0.6982
178,365471,285227,0.7804
179,41734,31799,0.762
180,149551,106510,0.7122
181,115741,96870,0.837
182,732890,520133,0.7097
183,96582,68457,0.7088
184,191180,142942,0.7477
185,127738,95742,0.7495
186,184239,152423,0.8273
187,19253,12833,0.6666
188,69561,45235,0.6503
189,87487,62091,0.7097
190,57107,44209,0.7742
191,49701,33590,0.6759
192,216228,139058,0.6431
193,172445,131530,0.7628
194,271018,186734,0.689
195,262455,166692,0.6351
196,321099,265560,0.827
197,307921,214504,0.6966
198,315783,258602,0.8189
199,235884,173782,0.7367
200,98383,75080,0.7632
201,812559,576694,0.7097
202,73458,40586,0.5525
203,202439,135533,0.6695
204,630023,512196,0.813
205,67441,56406,0.8364
206,67780,45502,0.6714
207,54188,42360,0.7818
208,189020,132905,0.7031
209,45306,36184,0.7987
210,42059,33949,0.8072
211,351243,300369,0.8552
212,94479,79662,0.8432
213,704788,587964,0.8342
214,216614,186287,0.86
215,153797,123295,0.8017
216,107411,102037,0.95
217,193754,140585,0.7256
218,193683,145532,0.7514
219,240608,205714,0.855
220,118026,101411,0.8592
221,145352,120922,0.8319
222,622350,512907,0.8241
223,494222,323920,0.6554
224,194560,174060,0.8946
225,96206,75131,0.7809
226,67187,59196,0.8811
227,94842,59920,0.6318
228,171534,135675,0.791
229,182610,142085,0.7781
230,933840,739303,0.7917
231,404754,337928,0.8349
232,202087,168334,0.833
233,211385,163316,0.7726
234,134717,112991,0.8388
235,144540,116625,0.8069
236,150130,132763,0.8843
237,159405,139007,0.872
238,125750,103036,0.8194
239,227463,165111,0.7259
240,224615,188468,0.8391
241,60279,57262,0.95
242,414692,388446,0.9367
243,338768,202981,0.5992
244,446637,380187,0.8512
245,52688,44869,0.8516
246,143964,113018,0.7851
247,119171,94269,0.7911
248,78507,58190,0.7412
249,45868,37281,0.8128
250,189338,129600,0.6845
251,223663,180636,0.8076
252,155037,111688,0.7204
253,445208,309248,0.6946
254,272370,235109,0.8632
255,682467,450978,0.6608
256,314615,225035,0.7153
257,145278,101651,0.6997
258,167789,154766,0.9224
259,89708,64881,0.7233
260,368668,209750,0.5689
261,493958,370269,0.7496
262,322051,248934,0.773
263,86488,70543,0.8156
264,50466,47097,0.9333
265,94198,79682,0.8459
266,207112,159087,0.7681
267,90829,62243,0.6853
268,351608,316349,0.8997
269,123194,87697,0.7119
270,524467,388399,0.7406
271,227727,163892,0.7197
272,176647,113062,0.64
273,99589,65948,0.6622
274,190253,137040,0.7203
275,183653,152230,0.8289
276,117109,86099,0.7352
277,394541,267866,0.6789
278,211724,136630,0.6453
279,125581,95509,0.7605
280,145305,108901,0.7495
281,414699,296455,0.7149
282,254183,186006,0.7318
283,35513,28890,0.8136
284,158287,137635,0.8695
285,674543,491963,0.7293
286,278431,214849,0.7716
287,95668,76882,0.8037
288,185522,129268,0.6968
289,272065,206435,0.7588
290,640675,493606,0.7704
291,132489,93010,0.702
292,469165,371387,0.7916
293,49776,38700,0.7775
294,276372,224571,0.8126
295,469151,308970,0.6586
296,463300,360084,0.7772
297,66872,56819,0.8497
298,99311,94344,0.95
299,209587,180738,0.8624
300,101147,70546,0.6975
301,106503,86844,0.8154
302,80227,60381,0.7527
303,66435,55634,0.8374
304,247075,180578,0.7309
305,245253,160678,0.6552
306,151627,115575,0.7622
307,85550,70803,0.8276
308,60401,49197,0.8145
309,12206,9738,0.798
310,111901,88083,0.7872
311,87534,68349,0.7808
312,48384,38378,0.7932
313,98756,75192,0.7614
314,207623,157600,0.7591
315,442123,383556,0.8675
316,43223,33512,0.7754
317,131937,105840,0.8022
318,804134,650109,0.8085
319,56047,42736,0.7625
320,52224,37362,0.7155
321,291985,235810,0.8076
322,409917,303833,0.7412
323,319234,244234,0.7651
324,177676,128239,0.7218
325,60923,48022,0.7883
326,236091,196706,0.8332
327,189017,141919,0.7508
328,260227,164728,0.633
329,298795,247861,0.8295
330,178205,140016,0.7857
331,220332,160570,0.7288
332,146040,118006,0.808
333,174839,119157,0.6815
334,188052,157644,0.8383
335,83583,65030,0.7781
336,447544,279226,0.6239
337,751456,598958,0.7971
338,24881,18708,0.752
339,270548,208700,0.7714
340,370046,278959,0.7539
341,119499,93738,0.7844
342,212577,158782,0.7469
343,429963,299012,0.6954
344,199124,175885,0.8833
345,135946,107614,0.7916
346,122825,92058,0.7495
347,246232,179180,0.7277
348,204220,172479,0.8446
349,124209,91652,0.7379
350,88151,72236,0.8195
351,128120,98211,0.7666
352,371383,285694,0.7693
353,127955,94710,0.7402
354,643550,467814,0.7269
355,221479,173224,0.7821
356,64302,53348,0.8297
357,137828,104651,0.7593
358,48353,37555,0.7767
359,705361,612808,0.8688
360,47832,33929,0.7093
361,291786,233145,0.799
362,111664,76201,0.6824
363,107946,72395,0.6707
364,179844,137856,0.7665
365,109046,77433,0.7101
366,120163,80197,0.6674
367,105237,90274,0.8578
368,495685,402939,0.8129
369,404652,251294,0.621
370,146758,95986,0.654
371,259153,206391,0.7964
372,179898,131182,0.7292
373,176258,148793,0.8442
374,88794,70739,0.7967
375,655368,506981,0.7736
376,441622,293340,0.6642
377,37731,29530,0.7827
378,24258,16453,0.6783
379,336601,286676,0.8517
380,125557,100104,0.7973
381,194268,138286,0.7118
382,148918,118697,0.7971
383,56314,50703,0.9004
384,141665,101136,0.7139
385,1535358,1254255,0.8169
386,500798,357429,0.7137
387,170823,134371,0.7866
388,580084,369616,0.6372
389,249767,183501,0.7347
390,248375,192240,0.774
391,97198,86410,0.889
392,53981,37826,0.7008
393,64150,50382,0.7854
394,250610,225170,0.8985
395,22866,18681,0.8171
396,108403,84622,0.7806
397,202348,156137,0.7716
398,159953,120349,0.7524
399,200133,141330,0.7062
400,187608,141177,0.7525
401,413575,305323,0.7383
402,252005,209841,0.8327
403,143771,113377,0.7886
404,570234,464539,0.8147
405,184120,145390,0.7897
406,208483,164846,0.7907
407,57936,45110,0.7787
408,229863,174849,0.7607
409,208175,171571,0.8242
410,1142547,1026542,0.8985
411,204068,172800,0.8468
412,135126,105931,0.784
413,306075,242802,0.7933
414,144770,95441,0.6593
415,187737,140256,0.7471
416,268438,198918,0.741
417,341142,247868,0.7266
418,268628,189436,0.7052
419,120596,90758,0.7526
420,97865,82706,0.8451
421,140290,118934,0.8478
422,376408,266427,0.7078
423,802905,587185,0.7313
424,222363,163688,0.7361
425,857184,716687,0.8361
426,172496,140324,0.8135
427,66940,50351,0.7522
428,143805,116432,0.8097
429,159178,115842,0.7278
430,423743,377343,0.8905
431,257884,198108,0.7682
432,170623,124057,0.7271
433,183998,137663,0.7482
434,282020,244651,0.8675
435,67658,48736,0.7204
436,1098466,900730,0.82
437,128523,97178,0.7561
438,656526,479303,0.7301
439,135821,112822,0.8307
440,79303,54377,0.6857
441,196977,162229,0.8236
442,243161,194157,0.7985
443,92637,65088,0.7026
444,351205,266559,0.759
445,24451,18728,0.7661
446,162266,131310,0.8092
447,137798,127203,0.9231
448,293431,235461,0.8024
449,51794,43830,0.8463
450,209530,169905,0.8109
451,144279,119063,0.8252
452,267314,206848,0.7738
453,121396,93247,0.7681
454,457303,386546,0.8453
455,74725,58678,0.7853
456,357378,254562,0.7123
457,178134,156181,0.8768
458,350819,284201,0.8101
459,804693,653157,0.8117
460,190960,175499,0.919
461,35645,25345,0.7111
462,121341,110232,0.9084
463,118555,87250,0.736
464,58034,47101,0.8116
465,45580,34345,0.7535
466,166594,120078,0.7208
467,358960,323612,0.9015
468,50737,45563,0.898
469,252266,194384,0.7706
470,296147,247431,0.8355
471,265888,216932,0.8159
472,97276,90507,0.9304
473,52000,34230,0.6583
474,552125,457340,0.8283
475,208768,149677,0.717
476,333658,220332,0.6604
477,77901,62172,0.7981
478,79983,74887,0.9363
479,147875,107922,0.7298
480,384528,320405,0.8333
481,730025,642585,0.8802
482,1060091,818058,0.7717
483,427461,364161,0.8519
484,85188,55525,0.6518
485,45458,32848,0.7227
486,144117,126749,0.8795
487,427705,324177,0.758
488,333818,266004,0.7969
489,109500,85435,0.7802
490,54049,48607,0.8994
491,283886,216834,0.7638
492,31477,27495,0.8735
493,146456,110695,0.7558
494,220592,184489,0.8364
495,382503,253776,0.6635
496,57977,43742,0.7545
497,505301,373310,0.7388
498,112145,83440,0.7441
499,68294,54746,0.8016
500,58214,44933,0.7719
501,73116,60581,0.8286
502,1025868,685616,0.6683
503,259902,175824,0.6765
504,303569,224480,0.7395
505,221818,157495,0.71
506,106449,81087,0.7618
507,62511,41791,0.6686
508,408390,332409,0.814
509,190012,135594,0.7136
510,246246,203628,0.8269
511,215093,159733,0.7426
512,1367457,1012161,0.7402
513,40325,31910,0.7914
514,88926,59599,0.6702
515,400196,308435,0.7707
516,86779,75493,0.87
517,162405,120139,0.7398
518,34037,28419,0.835
519,347542,259587,0.7469
520,195508,147147,0.7527
521,309830,229863,0.7419
522,308693,240394,0.7788
523,163766,125032,0.7635
524,476025,326673,0.6863
525,97984,75361,0.7691
526,177812,126820,0.7132
527,61840,44351,0.7172
528,374834,316487,0.8443
529,109961,73716,0.6704
530,31572,20977,0.6645
531,516845,403067,0.7799
532,50863,31633,0.622
533,128997,74718,0.5792
534,428301,333943,0.7797
535,287908,213359,0.7411
536,265282,208277,0.7851
537,474985,333723,0.7026
538,658381,413717,0.6284
539,485526,322914,0.6651
540,1160700,862084,0.7427
541,526661,344531,0.6542
542,958122,720967,0.7525
543,207755,153740,0.74
544,160069,119723,0.748
545,89827,67211,0.7483
546,70401,54824,0.7788
547,314412,244322,0.7771
548,373032,265130,0.7107
549,189332,146561,0.7741
550,41730,32361,0.7755
551,84053,47077,0.5601
552,187791,149595,0.7966
553,320456,234299,0.7311
554,251328,194245,0.7729
555,314097,201044,0.6401
556,297061,216844,0.73
557,273406,176149,0.6443
558,594475,474054,0.7974
559,20093,13148,0.6544
560,367428,260220,0.7082
561,164450,130118,0.7912
562,619648,448543,0.7239
563,78744,61654,0.783
564,140415,118355,0.8429
565,555958,501925,0.9028
566,149355,122963,0.8233
567,179857,157989,0.8784
568,36214,28738,0.7936
569,37917,30671,0.8089
570,121060,94242,0.7785
571,157736,133437,0.846
572,112917,86759,0.7684
573,159043,123062,0.7738
574,73773,62115,0.842
575,592203,529465,0.8941
576,65142,52159,0.8007
577,305554,266132,0.871
578,1251946,863195,0.6895
579,215574,136593,0.6336
580,55000,46271,0.8413
581,403122,299736,0.7435
582,220548,166787,0.7562
583,37301,23462,0.629
584,299943,210099,0.7005
585,257399,169939,0.6602
586,81399,61031,0.7498
587,222864,165029,0.7405
588,195938,155223,0.7922
589,81839,69215,0.8458
590,172353,136440,0.7916
591,23526,15833,0.673
592,538841,437751,0.8124
593,206120,162483,0.7883
594,112744,85811,0.7611
