district_id,pmuy_eligible,pmuy_connections,pmuy_coverage
308,44579,33230,0.7454
309,23895,17791,0.7447
310,185440,126063,0.6798
311,58947,37712,0.6398
312,44675,29114,0.6518
313,84247,57678,0.6847
314,234854,143207,0.6098
315,226730,168385,0.7427
316,39539,27242,0.6891
317,151747,96127,0.6335
318,686302,545793,0.7953
319,53677,36661,0.6831
320,54837,30877,0.5632
321,350408,218607,0.6239
322,415331,313388,0.7546
323,175880,134648,0.7656
324,170777,124479,0.7289
325,34455,26845,0.7792
326,233340,178554,0.7652
327,180554,128038,0.7091
328,300123,209490,0.698
329,231276,165013,0.7135
330,191608,132731,0.6927
331,185158,115106,0.6217
332,339092,223909,0.6603
333,122690,92486,0.7538
334,220094,134161,0.6096
335,41283,26043,0.6309
336,403284,277554,0.6882
337,770414,477164,0.6194
338,63262,35487,0.561
339,157710,117112,0.7426
340,362520,231641,0.639
341,99051,65987,0.6662
342,129192,78887,0.6107
343,304912,233648,0.7663
344,216844,153959,0.71
345,109848,73841,0.6722
346,55344,36321,0.6563
347,202918,138796,0.684
348,55126,41597,0.7547
349,63999,47663,0.7447
350,65102,47175,0.7246
351,56690,40950,0.7224
352,266437,203399,0.7634
353,79124,57831,0.7309
354,895240,609120,0.6804
355,170674,105136,0.616
356,73924,61864,0.8369
357,142104,96595,0.6798
358,64487,42777,0.6634
359,650795,467143,0.7178
360,48984,33525,0.6845
361,261558,176047,0.6731
362,96256,56953,0.5917
363,200520,112284,0.56
364,213631,136405,0.6385
365,233334,114862,0.4923
366,141688,101269,0.7148
367,123158,83420,0.6774
368,456615,295442,0.647
369,248645,127409,0.5124
370,181657,99583,0.5482
371,232443,160865,0.6921
372,287511,243862,0.8482
373,182459,122075,0.6691
374,142002,95121,0.6699
375,631509,401008,0.635
376,569888,311253,0.5462
377,56491,36994,0.6549
378,35269,19176,0.5439
379,592450,319543,0.5394
380,173361,96012,0.5539
381,204027,140764,0.69
382,214183,122280,0.5709
383,94371,55030,0.5832
384,312029,184215,0.5904
385,2326766,1294364,0.5563
386,578864,328263,0.5671
387,151363,90158,0.5957
388,1013379,517505,0.5107
389,547056,299591,0.5477
390,249869,136097,0.5447
391,182183,114413,0.628
392,49740,39796,0.8002
393,56774,38058,0.6704
394,51311,38699,0.7543
395,10290,9014,0.8764
396,45239,29281,0.6473
397,234014,173316,0.7406
398,122280,89248,0.7299
399,259038,205373,0.7928
400,242547,171309,0.7063
401,278381,187581,0.6739
402,143278,102206,0.7133
403,57620,42630,0.7399
404,499265,361385,0.7238
405,161525,104911,0.6495
406,157146,119927,0.7632
407,60133,46143,0.7674
408,162467,103167,0.635
409,129801,90729,0.699
410,902165,640690,0.7102
411,59966,39244,0.6545
412,82650,49381,0.5975
413,191512,118407,0.6183
414,120645,78611,0.6516
415,118504,64621,0.5454
416,392045,259993,0.6632
417,314696,229000,0.7277
418,225223,154786,0.6873
419,96692,62095,0.6422
420,102244,53484,0.5232
421,159858,106360,0.6654
422,363315,236585,0.6512
423,631663,417383,0.6608
424,359878,270938,0.7529
425,1068556,633054,0.5924
426,115413,57043,0.4943
427,90396,48772,0.5396
428,156056,104629,0.6705
429,147900,93422,0.6317
430,577210,331975,0.5751
431,346305,188639,0.5447
432,183061,115522,0.6311
433,230898,127217,0.551
434,212259,148215,0.6983
435,112413,65750,0.5849
436,708633,431405,0.6088
437,111105,67968,0.6118
438,829394,547466,0.6601
439,281799,185421,0.658
440,82715,53472,0.6465
441,247491,154652,0.6249
442,291602,186370,0.6391
443,87465,49740,0.5688
444,305694,179971,0.5887
445,33333,22100,0.6632
446,205437,165487,0.8055
447,233994,131275,0.561
448,371413,247612,0.6667
449,40963,30249,0.7386
450,140771,100192,0.7117
451,83503,65359,0.7828
452,136546,94448,0.6917
453,122972,88639,0.7208
454,311984,241630,0.7745
455,88286,72059,0.8163
456,275727,218934,0.794
457,165975,115894,0.6983
458,140380,103129,0.7347
459,353043,263968,0.7477
460,200379,145368,0.7255
461,20580,14752,0.717
462,65878,51484,0.7816
463,87177,63403,0.7274
464,55107,39655,0.7197
465,46310,29396,0.6349
466,148695,102840,0.6916
467,270053,167231,0.6193
468,35782,23504,0.6569
469,114984,78509,0.6828
470,256589,187453,0.7306
471,251889,203822,0.8092
472,92543,68199,0.737
473,78521,61960,0.7891
474,341073,256044,0.7507
475,200116,152831,0.7637
476,360109,292557,0.8124
477,59345,40431,0.6813
478,49625,33743,0.6801
479,222941,155466,0.6974
480,280619,184562,0.6577
481,389557,267745,0.6873
482,589391,376304,0.6385
483,265603,181657,0.684
484,76232,57331,0.7521
485,33795,21029,0.6224
486,68596,50849,0.7413
487,425667,285665,0.6711
488,171719,100256,0.5839
489,83830,51003,0.6084
490,71661,43066,0.6011
491,218555,150536,0.6888
492,42867,26139,0.6099
493,159345,94339,0.5921
494,390147,186870,0.479
495,354621,266776,0.7523
496,70783,42065,0.5943
497,310881,206136,0.6631
498,71950,40341,0.5607
499,93941,49580,0.5278
500,103558,72463,0.6997
501,99333,46060,0.4637
502,978596,591982,0.6049
503,167558,88164,0.5262
504,310727,176848,0.5692
505,659937,333302,0.5051
506,135494,75450,0.5569
507,58543,34199,0.5842
508,451364,201353,0.4461
509,232488,135263,0.5818
510,229737,134847,0.587
511,237546,120857,0.5088
512,1953135,1255940,0.643
513,50888,28108,0.5524
514,109822,62166,0.5661
515,301944,167590,0.5551
516,62076,37071,0.5973
517,216446,141200,0.6524
518,28704,21856,0.7616
519,356788,216158,0.6059
520,318575,203129,0.6376
521,344375,233199,0.6772
522,355012,213702,0.602
523,147298,99301,0.6742
524,419287,279927,0.6676
525,88927,53343,0.5999
526,207072,124062,0.5991
527,53145,26447,0.4977
528,240925,155210,0.6442
529,165917,81496,0.4912
530,37879,18394,0.4856
531,421615,245792,0.583
532,59210,30717,0.5188
533,188037,104475,0.5556
534,426443,246375,0.5778
535,360898,216908,0.601
536,234783,124819,0.5317
537,565214,363302,0.6428
538,796080,457455,0.5746
539,573754,352672,0.6147
540,910365,482678,0.5302
541,573901,344625,0.6005
542,1486440,942410,0.634
543,184485,125229,0.6788
544,192461,103635,0.5385
545,82298,46765,0.5683
546,91684,50458,0.5504
547,259935,147939,0.5692
548,444196,236995,0.5335
549,340015,198616,0.5841
550,44720,29678,0.6638
551,112919,62268,0.5515
552,186844,113349,0.6067
553,454564,255242,0.5615
554,244445,155614,0.6366
555,307592,166436,0.5411
556,389051,220883,0.5678
557,466047,243208,0.5219
558,893131,464245,0.5198
559,46618,28512,0.6117
560,474625,283395,0.5971
561,125255,74707,0.5965
562,510331,355922,0.6974
563,98243,77213,0.7859
564,111605,63518,0.5692
565,350492,261634,0.7465
566,156774,107251,0.6841
567,193518,132282,0.6836
568,46432,32685,0.704
569,29101,17445,0.5995
570,156652,123165,0.7863
571,150183,113644,0.7567
572,117478,75873,0.6459
573,211554,137398,0.6495
574,48201,28005,0.5811
575,546050,360840,0.6608
576,81362,50349,0.6189
577,195224,107822,0.5523
578,1857520,1225645,0.6598
579,194371,138860,0.7144
580,113413,74303,0.6552
581,359109,223428,0.6222
582,299578,193749,0.6467
583,49855,30550,0.6128
584,185196,103674,0.5598
585,481287,277843,0.5773
586,72296,44457,0.615
587,174572,115381,0.661
588,127832,84542,0.6614
589,113176,71879,0.6351
590,265571,143111,0.5389
591,30871,21292,0.6897
592,594892,383120,0.644
593,182850,147016,0.804
594,105296,65423,0.6213
