district_id,district_name,state,population,rural_population,urban_population,rural_fraction,literacy_rate,female_literacy,sc_pct,st_pct,cultivators,agri_laborers,rural_households,poverty_rate_proxy
23,Papum Pare,Arunachal Pradesh,318019,217845,100173,0.685,0.5979,0.4993,0.2287,0.0687,19852,11982,50021,0.3894
24,Tawang,Arunachal Pradesh,1574629,1558882,15746,0.99,0.553,0.4257,0.1739,0.2874,91615,104766,366942,0.3156
25,Tirap,Arunachal Pradesh,325442,214794,110647,0.66,0.6183,0.5611,0.1663,0.0134,32926,19518,47977,0.3507
26,Upper Dibang Valley,Arunachal Pradesh,362241,258015,104225,0.7123,0.6572,0.5836,0.347,0.3312,36140,18769,56577,0.3538
27,Upper Siang,Arunachal Pradesh,148757,128718,20038,0.8653,0.6534,0.4832,0.0279,0.1913,17401,11509,24900,0.3728
28,Upper Subansiri,Arunachal Pradesh,286720,218400,68319,0.7617,0.6174,0.5005,0.253,0.0,25683,14145,51880,0.3465
29,West Kameng,Arunachal Pradesh,470897,427663,43233,0.9082,0.5276,0.43,0.127,0.0726,30182,31436,79572,0.3469
30,West Siang,Arunachal Pradesh,929060,748011,181048,0.8051,0.7571,0.6222,0.208,0.0444,70344,65606,173810,0.3812
31,Barpeta,Assam,310978,296579,14398,0.9537,0.6846,0.5402,0.2012,0.0,36305,24228,60643,0.4052
32,Bongaigaon,Assam,207079,161294,45784,0.7789,0.6343,0.5076,0.103,0.1174,23347,15448,33715,0.4022
33,Cachar,Assam,504393,498994,5398,0.9893,0.4876,0.3165,0.1914,0.0,61953,37844,96676,0.3874
34,Darrang,Assam,851519,748170,103348,0.8786,0.6484,0.5632,0.0896,0.0623,61297,70443,160659,0.3413
35,Dhemaji,Assam,1184894,948522,236371,0.8005,0.5744,0.423,0.2091,0.0814,147624,120158,227043,0.4161
36,Dhuburi,Assam,307389,215085,92303,0.6997,0.7443,0.6051,0.1576,0.2371,19352,15100,46121,0.3283
37,Dibrugarh,Assam,550922,485969,64952,0.8821,0.5331,0.3535,0.1538,0.0234,41876,51264,97222,0.384
38,Goalpara,Assam,665375,584423,80951,0.8783,0.6691,0.5878,0.1374,0.1036,85666,53779,144151,0.2809
39,Golaghat,Assam,703353,492737,210615,0.7006,0.5412,0.4602,0.0,0.0,90462,60272,97626,0.4141
40,Hailakandi,Assam,342727,331858,10868,0.9683,0.6384,0.4778,0.1084,0.0,24030,22350,60665,0.3778
41,Jorhat,Assam,495965,385244,110720,0.7768,0.6652,0.5003,0.0218,0.1914,34227,39187,82179,0.4055
42,Kamrup,Assam,311328,275927,35400,0.8863,0.6573,0.4844,0.126,0.0,36226,30413,65344,0.3613
43,Karbi Anglong,Assam,478791,474003,4787,0.99,0.7774,0.71,0.1612,0.2091,41623,30056,102648,0.3454
44,Karimganj,Assam,101554,70494,31059,0.6942,0.5538,0.4991,0.1295,0.3125,11380,8042,13951,0.3837
45,Kokrajhar,Assam,420105,382099,38005,0.9095,0.6083,0.4869,0.0701,0.0808,53865,43695,71693,0.4274
46,Lakhimpur,Assam,346131,292953,53177,0.8464,0.5774,0.4866,0.0904,0.1599,27407,22363,65083,0.3077
47,Marigaon,Assam,765617,546258,219358,0.7135,0.6085,0.451,0.0453,0.2437,84907,42232,120125,0.4333
48,Nagaon,Assam,2511352,2247134,264217,0.8948,0.5928,0.4534,0.0407,0.0443,168374,134513,469362,0.3062
49,Nalbari,Assam,208835,194597,14237,0.9318,0.746,0.6237,0.0879,0.2403,18280,12355,47231,0.4009
50,North Cachar Hills,Assam,445335,438733,6601,0.9852,0.6067,0.5332,0.1186,0.1343,28164,22503,89910,0.3589
51,Sibsagar,Assam,193058,139982,53075,0.7251,0.5742,0.4413,0.1375,0.0496,12960,11262,29106,0.3342
52,Sonitpur,Assam,492884,445824,47059,0.9045,0.6527,0.492,0.1439,0.0432,49236,25754,93892,0.365
53,Tinsukia,Assam,177897,151985,25911,0.8543,0.6554,0.5234,0.0964,0.188,13153,16559,32528,0.3292
54,Araria,Bihar,113720,99455,14264,0.8746,0.6023,0.4609,0.1633,0.0,13835,11621,18572,0.5553
55,Aurangabad,Bihar,143619,123009,20609,0.8565,0.509,0.4441,0.2898,0.0,14276,12134,22459,0.4861
56,Banka,Bihar,1555082,1162982,392099,0.7479,0.4943,0.3433,0.1136,0.1775,213379,110638,224058,0.4536
57,Begusarai,Bihar,219241,181766,37474,0.8291,0.6219,0.4649,0.1814,0.0,18824,19270,35852,0.5638
58,Bhabua,Bihar,189988,147694,42293,0.7774,0.634,0.5776,0.107,0.2541,13059,13137,29445,0.4447
59,Bhagalpur,Bihar,236389,200237,36151,0.8471,0.6794,0.5985,0.0,0.2733,29437,24985,43573,0.484
60,Bhojpur,Bihar,311159,246104,65054,0.7909,0.6246,0.5301,0.0454,0.1639,36670,27602,58523,0.532
61,Buxar,Bihar,90713,81020,9692,0.8932,0.5567,0.4421,0.1378,0.2801,6523,3788,17312,0.5415
62,Darbhanga,Bihar,955523,816109,139413,0.8541,0.4656,0.3178,0.0868,0.0389,82536,60979,152157,0.5247
63,Gaya,Bihar,50000,47139,2860,0.9428,0.6031,0.5141,0.0578,0.1803,6631,3281,9735,0.5667
64,Gopalganj,Bihar,316936,299612,17323,0.9453,0.6278,0.4484,0.1135,0.0278,31684,15849,60170,0.5929
65,Jamui,Bihar,465683,400645,65037,0.8603,0.6506,0.4759,0.0921,0.0,23993,22070,83920,0.49
66,Jehanabad,Bihar,297732,237451,60280,0.7975,0.58,0.5221,0.0817,0.0,31210,22188,59325,0.4579
67,Katihar,Bihar,158250,139107,19142,0.879,0.5693,0.4556,0.0406,0.1623,18685,9230,31024,0.4788
68,Khagaria,Bihar,109391,88187,21203,0.8062,0.6863,0.5933,0.2037,0.0,10697,5150,21662,0.4621
69,Kishanganj,Bihar,452487,403912,48574,0.8926,0.6384,0.5844,0.0366,0.0,55730,40072,76583,0.4408
70,Lakhisarai,Bihar,762738,755110,7627,0.99,0.6201,0.4697,0.0875,0.0814,73565,57036,137870,0.4978
71,Madhepura,Bihar,173393,164446,8946,0.9484,0.6288,0.5007,0.2375,0.1562,14923,9619,36384,0.443
72,Madhubani,Bihar,232128,180505,51622,0.7776,0.7017,0.5557,0.2451,0.1106,22362,15430,35817,0.4677
73,Munger,Bihar,380145,294911,85233,0.7758,0.5804,0.5283,0.2758,0.1873,48633,34882,61384,0.5395
74,Muzaffarpur,Bihar,320987,263309,57677,0.8203,0.4965,0.4082,0.1774,0.0,34487,18917,49579,0.4806
75,Nalanda,Bihar,184234,146153,38080,0.7933,0.6081,0.47,0.2401,0.212,24034,12498,30628,0.442
76,Nawada,Bihar,228133,205372,22760,0.9002,0.5487,0.4865,0.1718,0.0318,19401,22562,48122,0.4719
77,Pashchim Champaran,Bihar,142962,101598,41363,0.7107,0.4537,0.2895,0.1522,0.0659,19729,14572,20926,0.4567
78,Patna,Bihar,267307,219129,48177,0.8198,0.5214,0.4584,0.2499,0.3005,33773,17074,43144,0.582
79,Purba Champaran,Bihar,402256,365746,36509,0.9092,0.8065,0.681,0.1005,0.1963,38741,22241,80105,0.5031
80,Purnia,Bihar,366292,332199,34092,0.9069,0.6137,0.5196,0.1967,0.0,34598,26651,75206,0.4723
81,Rohtas,Bihar,123779,104895,18883,0.8474,0.5431,0.4593,0.1695,0.0,15409,9951,25178,0.4804
82,Saharsa,Bihar,303527,264592,38934,0.8717,0.582,0.4148,0.2163,0.0,19573,14008,59369,0.5285
83,Samastipur,Bihar,50000,37184,12815,0.7437,0.5257,0.4052,0.1214,0.0846,5969,3687,7287,0.4874
84,Saran,Bihar,106030,96611,9418,0.9112,0.5912,0.4408,0.2612,0.0053,17518,7357,21973,0.5754
85,Sheikhpura,Bihar,198510,180994,17515,0.9118,0.6229,0.541,0.2191,0.2189,25218,14551,41443,0.4658
86,Sheohar,Bihar,181025,161028,19996,0.8895,0.544,0.4267,0.2818,0.0596,19085,10571,38445,0.5924
87,Sitamarhi,Bihar,920107,910905,9201,0.99,0.6057,0.4836,0.0694,0.0695,83834,97470,203222,0.5373
88,Siwan,Bihar,946233,854589,91643,0.9031,0.5591,0.4848,0.0,0.1259,57240,31635,158816,0.4946
89,Supaul,Bihar,204908,202785,2122,0.9896,0.5501,0.4192,0.1499,0.129,32624,17671,40896,0.4404
90,Vaishali,Bihar,121565,104489,17075,0.8595,0.532,0.4225,0.1524,0.0461,11614,11209,23330,0.5562
91,Chandigarh,Chandigarh,876545,17530,859014,0.02,0.6228,0.5114,0.1824,0.0,14281,11230,4317,0.0519
92,Bastar,Chhattisgarh,472046,352047,119998,0.7458,0.5862,0.4969,0.2535,0.2953,47192,36780,69305,0.4014
93,Bilaspur,Chhattisgarh,402162,336167,65994,0.8359,0.6159,0.5213,0.121,0.1561,27284,28177,67459,0.4261
94,Dantewada,Chhattisgarh,490447,329195,161251,0.6712,0.721,0.5698,0.0341,0.0,29236,22435,78231,0.3654
95,Dhamtari,Chhattisgarh,475394,378073,97320,0.7953,0.6487,0.5282,0.0024,0.0363,25005,22346,84377,0.4762
96,Durg,Chhattisgarh,426010,310974,115035,0.73,0.654,0.552,0.1499,0.1983,43964,30529,69362,0.4071
97,Janjgir-Champa,Chhattisgarh,633397,492880,140516,0.7782,0.5666,0.4849,0.1124,0.1451,62544,40084,95760,0.442
98,Jashpur,Chhattisgarh,2561501,1690116,871384,0.6598,0.723,0.5892,0.1788,0.0942,230263,139459,323523,0.4577
99,Kanker,Chhattisgarh,216318,165522,50795,0.7652,0.545,0.3913,0.2512,0.0707,14521,12273,30106,0.3508
100,Kawardha,Chhattisgarh,434273,380215,54057,0.8755,0.8166,0.6454,0.2505,0.1093,44406,22674,71371,0.4262
101,Korba,Chhattisgarh,118363,76522,41840,0.6465,0.6657,0.5607,0.1083,0.081,12820,11027,13915,0.4026
102,Koriya,Chhattisgarh,1281252,1037256,243995,0.8096,0.6882,0.5968,0.2291,0.1537,136704,79051,200196,0.4531
103,Mahasamund,Chhattisgarh,191821,167706,24114,0.8743,0.6788,0.5315,0.131,0.0,13069,14618,40468,0.3446
104,Raigarh,Chhattisgarh,480041,331665,148375,0.6909,0.6515,0.6015,0.0975,0.0517,45452,35790,78002,0.3435
105,Raipur,Chhattisgarh,67645,47247,20397,0.6985,0.6016,0.4451,0.2467,0.0602,6128,5894,9933,0.44
106,Raj Nandgaon,Chhattisgarh,1432649,837284,595364,0.5844,0.4799,0.4028,0.151,0.1628,110512,75501,159950,0.3838
107,Surguja,Chhattisgarh,782403,619515,162887,0.7918,0.5807,0.4724,0.1577,0.0802,103061,47424,143035,0.425
108,Dadra and Nagar Haveli,Dadra and Nagar Haveli,295467,112104,183362,0.3794,0.626,0.5044,0.322,0.2962,10944,11223,23704,0.1116
109,Daman,Daman and Diu,163034,39651,123382,0.2432,0.598,0.475,0.1604,0.1239,6869,5674,7906,0.0306
110,Junagadh,Daman and Diu,359147,50240,308906,0.1399,0.6879,0.5538,0.1929,0.0631,19259,17792,12286,0.0544
111,Delhi,Delhi,1738246,34764,1703481,0.02,0.6451,0.5673,0.0759,0.0,11686,7708,6571,0.0713
112,North Goa,Goa,204869,63435,141433,0.3096,0.8847,0.8003,0.2121,0.0213,8918,3684,15244,-0.0115
113,South Goa,Goa,59884,17029,42854,0.2844,0.8177,0.6697,0.2403,0.1293,1739,1567,3796,0.1218
114,Ahmadabad,Gujarat,566726,348703,218022,0.6153,0.6385,0.4613,0.0671,0.0904,46689,23608,77807,0.1609
115,Amreli,Gujarat,1253567,842595,410971,0.6722,0.6069,0.5103,0.1128,0.2054,118714,86309,183682,0.1827
116,Anand,Gujarat,785314,542921,242392,0.6913,0.6212,0.4856,0.0992,0.0046,60719,33683,127773,0.2457
117,Banas Kantha,Gujarat,391574,248125,143448,0.6337,0.6457,0.4975,0.1419,0.0,33973,25236,60832,0.2813
118,Bharuch,Gujarat,268349,160967,107381,0.5998,0.6333,0.5827,0.108,0.2744,15269,17363,30496,0.2094
119,Bhavnagar,Gujarat,684655,393565,291089,0.5748,0.6945,0.6015,0.1484,0.3204,49621,31334,76237,0.2095
120,Dahod,Gujarat,445125,283828,161296,0.6376,0.5667,0.4055,0.069,0.0,31142,17423,54410,0.2071
121,Gandhinagar,Gujarat,296297,110087,186209,0.3715,0.6073,0.502,0.0,0.0383,21671,15972,24869,0.1786
122,Jamnagar,Gujarat,1573763,871494,702268,0.5538,0.7033,0.593,0.2333,0.0,100663,82675,214646,0.2039
123,Junagadh,Gujarat,457872,202786,255085,0.4429,0.6683,0.5938,0.0185,0.0,36466,32880,37129,0.1429
124,Kachchh,Gujarat,613116,482436,130679,0.7869,0.662,0.5563,0.1799,0.1327,54847,39180,118809,0.2429
125,Kheda,Gujarat,753695,423025,330669,0.5613,0.6593,0.4876,0.0596,0.1223,57377,51966,78722,0.2208
126,Mahesana,Gujarat,295619,159567,136051,0.5398,0.7411,0.5652,0.2103,0.0344,29735,12027,30101,0.2433
127,Narmada,Gujarat,107817,68607,39209,0.6363,0.7053,0.5327,0.1483,0.1237,8948,7796,12570,0.2428
128,Navsari,Gujarat,50000,27230,22769,0.5446,0.6655,0.5685,0.1566,0.2299,3687,2154,5046,0.228
129,Panch Mahals,Gujarat,234674,142441,92232,0.607,0.546,0.3692,0.1922,0.0581,24384,11077,34966,0.1546
130,Patan,Gujarat,244427,127969,116457,0.5235,0.7256,0.557,0.1956,0.0789,23145,14973,24162,0.2818
131,Porbandar,Gujarat,1082004,542979,539024,0.5018,0.833,0.7261,0.218,0.0834,80472,43750,121170,0.2345
132,Rajkot,Gujarat,174703,111103,63599,0.636,0.7415,0.5976,0.2022,0.0475,8735,8005,23246,0.2113
133,Sabar Kantha,Gujarat,254742,84969,169772,0.3336,0.5897,0.4776,0.1035,0.1233,12854,11793,20844,0.287
134,Surat,Gujarat,1218525,664674,553850,0.5455,0.6355,0.5776,0.1857,0.0674,82552,66438,125781,0.231
135,Surendranagar,Gujarat,1510958,904437,606520,0.5986,0.7444,0.5695,0.0902,0.1352,129711,105643,192861,0.1645
136,The Dangs,Gujarat,88071,50971,37099,0.5788,0.7558,0.6243,0.0,0.0571,4972,5936,12045,0.1616
137,Vadodara,Gujarat,519167,319321,199845,0.6151,0.685,0.5361,0.2044,0.0,43247,23652,72406,0.1793
138,Valsad,Gujarat,355703,185035,170667,0.5202,0.602,0.5429,0.0727,0.1187,26416,15188,35373,0.1685
139,Ambala,Haryana,1045616,707278,338337,0.6764,0.6802,0.5792,0.0025,0.0748,103920,63836,151834,0.1185
140,Bhiwani,Haryana,73278,37768,35509,0.5154,0.7097,0.5388,0.2418,0.0422,6121,3593,7079,0.2154
141,Faridabad,Haryana,257926,189913,68012,0.7363,0.7789,0.7268,0.0006,0.1541,25842,18148,36140,0.0874
142,Fatehabad,Haryana,168124,119357,48766,0.7099,0.5769,0.3976,0.2561,0.0487,15833,10028,24311,0.2202
143,Gurgaon,Haryana,87152,51048,36103,0.5857,0.7336,0.6615,0.0403,0.0,6724,6155,10164,0.1007
144,Hisar,Haryana,671471,479920,191550,0.7147,0.6848,0.5161,0.1598,0.0,42306,30094,88110,0.1123
145,Jhajjar,Haryana,649379,339646,309732,0.523,0.6968,0.5459,0.1739,0.0784,38171,21703,69932,0.2291
146,Jind,Haryana,477625,355911,121713,0.7452,0.6843,0.529,0.1008,0.0657,30281,18326,82900,0.1356
147,Kaithal,Haryana,119473,64181,55291,0.5372,0.6828,0.5431,0.1765,0.1343,13928,6538,12597,0.1907
148,Karnal,Haryana,896408,673348,223059,0.7512,0.5955,0.5214,0.2451,0.141,101953,69764,153066,0.1139
149,Kurukshetra,Haryana,350087,229757,120329,0.6563,0.6475,0.5453,0.354,0.0,23751,17875,46332,0.1953
150,Mahendragarh,Haryana,927645,617249,310395,0.6654,0.7742,0.614,0.2613,0.125,84626,72786,120088,0.0905
151,Panchkula,Haryana,454273,334690,119582,0.7368,0.5714,0.4641,0.1506,0.0555,38060,26362,75520,0.0889
152,Panipat,Haryana,109788,71831,37956,0.6543,0.6867,0.5609,0.1375,0.0,7735,7427,14317,0.1537
153,Rewari,Haryana,103389,70415,32973,0.6811,0.5718,0.428,0.159,0.3664,8409,5394,12849,0.085
154,Rohtak,Haryana,433294,281710,151583,0.6502,0.7147,0.5623,0.1437,0.0,34811,32836,62528,0.167
155,Sirsa,Haryana,484862,286998,197863,0.5919,0.6754,0.5967,0.0782,0.0155,37558,32274,54174,0.0749
156,Sonepat,Haryana,323477,232853,90623,0.7198,0.6576,0.5101,0.1391,0.0,22218,19223,45048,0.1093
157,Yamuna Nagar,Haryana,90203,60101,30101,0.6663,0.616,0.4737,0.1599,0.0,8206,5677,12115,0.1022
158,Bilaspur,Himachal Pradesh,317691,271156,46534,0.8535,0.5507,0.4255,0.1421,0.0,27383,13753,63746,0.0539
159,Chamba,Himachal Pradesh,837228,659890,177337,0.7882,0.6636,0.4849,0.2289,0.0917,51479,41048,133409,0.1611
160,Hamirpur,Himachal Pradesh,353392,311992,41399,0.8828,0.6091,0.5009,0.214,0.0,27389,13835,73751,0.0594
161,Kangra,Himachal Pradesh,543218,431888,111329,0.7951,0.757,0.5957,0.1096,0.1177,28547,27227,80505,0.0672
162,Kinnaur,Himachal Pradesh,230380,227600,2779,0.9879,0.754,0.6232,0.3087,0.0,17580,12439,45303,0.0319
163,Kullu,Himachal Pradesh,156137,138721,17415,0.8885,0.6248,0.5459,0.0858,0.4171,11425,6865,29211,0.1192
164,Lahul and Spiti,Himachal Pradesh,459333,363909,95423,0.7923,0.7247,0.5965,0.2524,0.1771,31239,28559,76769,0.0949
165,Mandi,Himachal Pradesh,879699,679689,200009,0.7726,0.7311,0.6529,0.0339,0.0791,71824,50579,167898,0.1112
166,Shimla,Himachal Pradesh,321753,275073,46679,0.8549,0.679,0.5475,0.181,0.0435,23685,11899,51332,0.1
167,Sirmaur,Himachal Pradesh,373904,365251,8652,0.9769,0.5733,0.4942,0.1692,0.0791,27238,24371,66585,0.1043
168,Solan,Himachal Pradesh,294000,215027,78972,0.7314,0.7638,0.6873,0.1951,0.0,21087,20427,39255,0.165
169,Una,Himachal Pradesh,658564,595732,62831,0.9046,0.6318,0.5106,0.1905,0.0906,43587,37923,132375,0.0729
170,Anantnag (Kashmir South),Jammu & Kashmir,365414,292446,72967,0.8003,0.5692,0.4612,0.0074,0.0839,16534,14259,68560,0.2449
171,Bagdam,Jammu & Kashmir,285081,223437,61643,0.7838,0.7073,0.5816,0.1382,0.2052,23988,15346,47904,0.1515
172,Baramula (Kashmir North),Jammu & Kashmir,821821,618988,202832,0.7532,0.685,0.6118,0.1975,0.0355,52551,49749,121674,0.2359
173,Doda,Jammu & Kashmir,154573,90228,64344,0.5837,0.7251,0.613,0.2498,0.0,11676,10299,22402,0.2103
174,Jammu,Jammu & Kashmir,448376,289164,159211,0.6449,0.688,0.5326,0.188,0.2029,31669,17498,71155,0.1758
175,Kathua,Jammu & Kashmir,104734,80251,24482,0.7662,0.6425,0.4853,0.1112,0.2086,6109,7725,14785,0.1419
176,Kupwara (Muzaffarabad),Jammu & Kashmir,407525,282175,125349,0.6924,0.7045,0.5283,0.1857,0.1462,19403,13818,60999,0.2315
177,Pulwama,Jammu & Kashmir,281017,172180,108836,0.6127,0.5974,0.4526,0.0155,0.2155,18593,19372,33762,0.199
178,Punch,Jammu & Kashmir,650789,385571,265217,0.5925,0.6457,0.4732,0.2405,0.0,55674,52258,88382,0.239
179,Rajauri,Jammu & Kashmir,130653,96367,34285,0.7376,0.588,0.4097,0.1234,0.0,7918,4407,20447,0.2606
180,Srinagar,Jammu & Kashmir,440778,259128,181649,0.5879,0.6282,0.5106,0.0783,0.189,29795,14371,48638,0.2183
181,Udhampur,Jammu & Kashmir,291642,207389,84252,0.7111,0.6226,0.5664,0.1667,0.0694,19486,14695,46926,0.1451
182,Bokaro,Jharkhand,1407420,918723,488696,0.6528,0.6679,0.6038,0.1652,0.269,113407,103032,201176,0.4249
183,Chatra,Jharkhand,193149,142314,50834,0.7368,0.6279,0.5331,0.0936,0.0,20643,7880,29031,0.4622
184,Deoghar,Jharkhand,495641,388734,106906,0.7843,0.6076,0.4368,0.305,0.0258,37020,19440,86300,0.498
185,Dhanbad,Jharkhand,335925,225447,110477,0.6711,0.6972,0.6051,0.0615,0.2933,23113,14611,41609,0.3825
186,Dumka,Jharkhand,354170,250460,103709,0.7072,0.6547,0.4838,0.151,0.0,29054,25356,53604,0.3847
187,Garhwa,Jharkhand,50000,38821,11178,0.7764,0.5805,0.4036,0.1155,0.1591,3547,2139,7733,0.369
188,Giridih,Jharkhand,163577,128173,35403,0.7836,0.6786,0.5832,0.2842,0.0,12739,7804,29664,0.484
189,Godda,Jharkhand,147507,121154,26352,0.8213,0.5283,0.4622,0.35,0.124,16134,9703,23917,0.4542
190,Gumla,Jharkhand,113822,102188,11633,0.8978,0.6331,0.5156,0.1284,0.0593,7429,9436,23241,0.3463
191,Hazaribag,Jharkhand,117532,70728,46803,0.6018,0.5957,0.5414,0.1098,0.0,8759,5919,15745,0.3544
192,Jamtara,Jharkhand,493682,329634,164047,0.6677,0.6251,0.4463,0.2044,0.0686,32967,30890,64042,0.4751
193,Koderma,Jharkhand,402519,332279,70239,0.8255,0.6206,0.4658,0.211,0.0,30952,19975,80262,0.445
194,Latehar,Jharkhand,671654,495429,176224,0.7376,0.5782,0.4498,0.0767,0.0,52773,27265,106034,0.3824
195,Lohardaga,Jharkhand,535795,396093,139701,0.7393,0.6184,0.5332,0.1651,0.1727,46519,30990,90307,0.4204
196,Pakur,Jharkhand,422753,395917,26835,0.9365,0.5773,0.4736,0.2248,0.0918,52885,41943,75309,0.3627
197,Palamu,Jharkhand,442036,365875,76160,0.8277,0.6363,0.5104,0.1434,0.0401,51071,39865,89493,0.4357
198,Pashchim Singhbhum,Jharkhand,766243,560008,206234,0.7308,0.6229,0.5393,0.2012,0.0,64186,29072,124865,0.434
199,Purba Singhbhum,Jharkhand,622804,436268,186535,0.7005,0.5775,0.514,0.2411,0.156,41170,28492,80873,0.4916
200,Ranchi,Jharkhand,221252,153091,68160,0.6919,0.5386,0.4345,0.0648,0.1202,20065,8990,37724,0.4446
201,Sahibganj,Jharkhand,1976651,1539325,437325,0.7788,0.4836,0.3101,0.0282,0.0821,139507,100460,320308,0.3875
202,Saraikela Kharsawan,Jharkhand,171981,116958,55022,0.6801,0.6166,0.5164,0.0201,0.0584,12931,8763,24362,0.4635
203,Simdega,Jharkhand,389508,314871,74636,0.8084,0.6897,0.5718,0.1181,0.1325,32598,27187,57457,0.4133
204,Bagalkot,Karnataka,1502523,827419,675103,0.5507,0.675,0.5273,0.1431,0.0021,109107,76953,161232,0.2748
205,Bangalore Rural,Karnataka,150282,95991,54290,0.6387,0.6846,0.6064,0.303,0.1133,11242,8675,18986,0.1727
206,Bangalore Urban,Karnataka,157132,96930,60201,0.6169,0.6677,0.5917,0.1287,0.2275,12687,7330,21788,0.1463
207,Belgaum,Karnataka,102157,57251,44905,0.5604,0.6702,0.5253,0.0774,0.0699,9518,6485,12759,0.2235
208,Bellary,Karnataka,441241,311854,129386,0.7068,0.7126,0.5332,0.0951,0.0966,33555,22267,73174,0.2623
209,Bidar,Karnataka,82696,48258,34437,0.5836,0.7031,0.6444,0.1942,0.189,9276,4104,11230,0.2318
210,Bijapur,Karnataka,74064,53238,20825,0.7188,0.6749,0.5175,0.1694,0.135,8120,4301,10973,0.1511
211,Chamrajnagar,Karnataka,517792,368315,149476,0.7113,0.7582,0.6707,0.2315,0.1913,72642,31088,91265,0.149
212,Chikmagalur,Karnataka,177723,70908,106814,0.399,0.6436,0.5382,0.1155,0.3122,19645,8257,13516,0.1483
213,Chitradurga,Karnataka,1082764,676159,406604,0.6245,0.7087,0.5697,0.1298,0.1286,123927,84213,150580,0.1889
214,Dakshin Kannad,Karnataka,365628,156974,208653,0.4293,0.7102,0.5468,0.2529,0.1003,43122,20849,37145,0.1414
215,Davanagere,Karnataka,244450,153214,91235,0.6268,0.8677,0.8119,0.2235,0.1813,29192,16228,38147,0.2352
216,Dharwad,Karnataka,166734,101022,65711,0.6059,0.6256,0.5595,0.2025,0.1582,17869,13852,19395,0.1796
217,Gadag,Karnataka,408425,263809,144615,0.6459,0.7586,0.5875,0.2599,0.0,33964,23256,63401,0.1779
218,Gulbarga,Karnataka,265606,145909,119696,0.5493,0.7292,0.6631,0.1333,0.0662,34513,22686,35562,0.2507
219,Hassan,Karnataka,374783,229765,145017,0.6131,0.6548,0.5115,0.0427,0.018,44724,26333,45985,0.2099
220,Haveri,Karnataka,349410,161823,187586,0.4631,0.7234,0.6471,0.1716,0.0,18351,16505,33198,0.2336
