district_id,district_name,state,population,rural_population,urban_population,rural_fraction,literacy_rate,female_literacy,sc_pct,st_pct,cultivators,agri_laborers,rural_households,poverty_rate_proxy,solid_fuel_pct,bank_account_pct,electricity_pct,mobile_ownership_pct,improved_water_pct,sanitation_pct,women_bank_account_pct,child_stunting_pct,pmuy_eligible,pmuy_connections,pmuy_coverage,pmkisan_eligible,pmkisan_beneficiaries,pmkisan_coverage
14,Vizianagaram,Andhra Pradesh,164122,81968,82153,0.4994,0.6627,0.5696,0.1209,0.0065,18819,14088,19468,0.3286,0.4634,0.6509,0.8072,0.6626,0.6135,0.6274,0.5826,0.1818,57838,39257,0.6788,111427,78331,0.703
15,West Godavari,Andhra Pradesh,94869,59871,34997,0.6311,0.6402,0.4957,0.1591,0.1979,7276,4222,12389,0.2993,0.4227,0.5784,0.5781,0.6671,0.6236,0.6047,0.4846,0.2678,33570,17362,0.5172,38933,33278,0.8548
16,Changlang,Arunachal Pradesh,187754,157164,30589,0.8371,0.5718,0.3979,0.1769,0.0612,20095,8765,38640,0.3396,0.6938,0.506,0.5472,0.6207,0.5795,0.5998,0.4694,0.3814,171880,101372,0.5898,97723,70739,0.7239
17,East Kameng,Arunachal Pradesh,130307,102135,28171,0.7838,0.7455,0.5797,0.1417,0.1143,15367,10359,22395,0.2851,0.4331,0.597,0.6238,0.7074,0.4842,0.6242,0.5516,0.2268,62185,38949,0.6264,87111,70373,0.8079
18,East Siang,Arunachal Pradesh,1237501,971015,266485,0.7847,0.5493,0.468,0.2656,0.2868,83818,77756,182802,0.3014,0.6904,0.4825,0.632,0.5371,0.5529,0.4919,0.4413,0.3006,809172,485166,0.5996,547110,438564,0.8016
19,Kurung Kumey,Arunachal Pradesh,177055,145444,31610,0.8215,0.6074,0.4923,0.1386,0.1205,14274,14384,34772,0.351,0.3962,0.4406,0.5898,0.6432,0.6882,0.5337,0.3786,0.3114,88325,50413,0.5708,97039,75710,0.7802
20,Lohit,Arunachal Pradesh,184502,124076,60425,0.6725,0.5735,0.419,0.2141,0.0,12363,14402,26994,0.3182,0.6968,0.4462,0.6387,0.5869,0.7118,0.5732,0.3439,0.3203,120594,68301,0.5664,90629,54960,0.6065
21,Lower Dibang Valley,Arunachal Pradesh,807910,656870,151039,0.813,0.7286,0.6414,0.1013,0.0531,77264,37272,156007,0.3371,0.5392,0.6018,0.5938,0.6624,0.5832,0.4955,0.4888,0.1816,539324,282690,0.5242,387833,321821,0.8298
22,Lower Subansiri,Arunachal Pradesh,2714122,2497392,216729,0.9201,0.5753,0.4207,0.0476,0.0091,187154,209226,480709,0.3072,0.638,0.4763,0.5309,0.6156,0.5838,0.4961,0.4325,0.3102,1966362,1200435,0.6105,1342193,1017142,0.7578
23,Papum Pare,Arunachal Pradesh,318019,217845,100173,0.685,0.5979,0.4993,0.2287,0.0687,19852,11982,50021,0.3894,0.5448,0.4351,0.6159,0.6631,0.5316,0.5523,0.3216,0.2343,174720,103648,0.5933,107794,77735,0.7211
24,Tawang,Arunachal Pradesh,1574629,1558882,15746,0.99,0.553,0.4257,0.1739,0.2874,91615,104766,366942,0.3156,0.7222,0.4368,0.4727,0.5129,0.5368,0.5108,0.3512,0.3243,1699085,855457,0.5035,664971,483850,0.7276
25,Tirap,Arunachal Pradesh,325442,214794,110647,0.66,0.6183,0.5611,0.1663,0.0134,32926,19518,47977,0.3507,0.6571,0.3988,0.758,0.8238,0.3855,0.5528,0.3031,0.2996,202123,126069,0.6238,177582,113398,0.6386
26,Upper Dibang Valley,Arunachal Pradesh,362241,258015,104225,0.7123,0.6572,0.5836,0.347,0.3312,36140,18769,56577,0.3538,0.512,0.6154,0.6409,0.6315,0.5725,0.5826,0.4639,0.1933,185722,115176,0.6202,185928,142637,0.7672
27,Upper Siang,Arunachal Pradesh,148757,128718,20038,0.8653,0.6534,0.4832,0.0279,0.1913,17401,11509,24900,0.3728,0.7232,0.5104,0.5777,0.6298,0.5843,0.6087,0.4629,0.2117,115452,66641,0.5773,97892,63994,0.6537
28,Upper Subansiri,Arunachal Pradesh,286720,218400,68319,0.7617,0.6174,0.5005,0.253,0.0,25683,14145,51880,0.3465,0.4715,0.4969,0.6054,0.553,0.637,0.4428,0.497,0.3944,156832,76681,0.489,134862,100429,0.7447
29,West Kameng,Arunachal Pradesh,470897,427663,43233,0.9082,0.5276,0.43,0.127,0.0726,30182,31436,79572,0.3469,0.6489,0.4792,0.4806,0.6196,0.4877,0.3661,0.3928,0.3178,331052,209464,0.6327,208646,159039,0.7623
30,West Siang,Arunachal Pradesh,929060,748011,181048,0.8051,0.7571,0.6222,0.208,0.0444,70344,65606,173810,0.3812,0.4488,0.71,0.5901,0.8216,0.4525,0.6425,0.5527,0.2261,500130,282433,0.5647,460344,398232,0.8651
31,Barpeta,Assam,310978,296579,14398,0.9537,0.6846,0.5402,0.2012,0.0,36305,24228,60643,0.4052,0.5085,0.5578,0.5955,0.7415,0.6091,0.4271,0.4834,0.2313,197705,118395,0.5989,204972,145498,0.7099
32,Bongaigaon,Assam,207079,161294,45784,0.7789,0.6343,0.5076,0.103,0.1174,23347,15448,33715,0.4022,0.4911,0.4589,0.5934,0.6763,0.4134,0.5121,0.4659,0.3565,106155,58832,0.5542,131364,111004,0.845
33,Cachar,Assam,504393,498994,5398,0.9893,0.4876,0.3165,0.1914,0.0,61953,37844,96676,0.3874,0.662,0.3167,0.5248,0.4069,0.592,0.3868,0.3607,0.2869,410330,217946,0.5312,337925,268794,0.7954
34,Darrang,Assam,851519,748170,103348,0.8786,0.6484,0.5632,0.0896,0.0623,61297,70443,160659,0.3413,0.6426,0.5441,0.5617,0.5663,0.5841,0.5256,0.5517,0.3366,661919,451242,0.6817,446088,329192,0.738
35,Dhemaji,Assam,1184894,948522,236371,0.8005,0.5744,0.423,0.2091,0.0814,147624,120158,227043,0.4161,0.573,0.418,0.5263,0.7155,0.4976,0.5983,0.3815,0.3449,834106,517448,0.6204,906744,596713,0.6581
36,Dhuburi,Assam,307389,215085,92303,0.6997,0.7443,0.6051,0.1576,0.2371,19352,15100,46121,0.3283,0.45,0.6789,0.6682,0.7101,0.6458,0.5589,0.5372,0.2644,133064,96551,0.7256,116658,78957,0.6768
37,Dibrugarh,Assam,550922,485969,64952,0.8821,0.5331,0.3535,0.1538,0.0234,41876,51264,97222,0.384,0.6566,0.4874,0.5311,0.5176,0.6742,0.562,0.4584,0.3186,409279,249068,0.6086,315384,242853,0.77
38,Goalpara,Assam,665375,584423,80951,0.8783,0.6691,0.5878,0.1374,0.1036,85666,53779,144151,0.2809,0.5285,0.6655,0.5648,0.6209,0.6863,0.4792,0.6541,0.1959,488448,323480,0.6623,472178,348452,0.738
39,Golaghat,Assam,703353,492737,210615,0.7006,0.5412,0.4602,0.0,0.0,90462,60272,97626,0.4141,0.6786,0.605,0.6295,0.6146,0.4964,0.6038,0.4757,0.3183,424756,216638,0.51,510404,432266,0.8469
40,Hailakandi,Assam,342727,331858,10868,0.9683,0.6384,0.4778,0.1084,0.0,24030,22350,60665,0.3778,0.4873,0.6516,0.5981,0.6236,0.4172,0.5479,0.5356,0.2242,189537,110957,0.5854,157048,114999,0.7323
41,Jorhat,Assam,495965,385244,110720,0.7768,0.6652,0.5003,0.0218,0.1914,34227,39187,82179,0.4055,0.4046,0.5202,0.5496,0.6399,0.6265,0.496,0.46,0.2457,213176,127352,0.5974,248589,169821,0.6832
42,Kamrup,Assam,311328,275927,35400,0.8863,0.6573,0.4844,0.126,0.0,36226,30413,65344,0.3613,0.568,0.6932,0.5595,0.6745,0.4089,0.5833,0.5653,0.3203,237963,165789,0.6967,225648,181594,0.8048
43,Karbi Anglong,Assam,478791,474003,4787,0.99,0.7774,0.71,0.1612,0.2091,41623,30056,102648,0.3454,0.4672,0.7036,0.593,0.6636,0.5904,0.4064,0.637,0.1992,307477,182728,0.5943,242714,178276,0.7345
44,Karimganj,Assam,101554,70494,31059,0.6942,0.5538,0.4991,0.1295,0.3125,11380,8042,13951,0.3837,0.6543,0.4384,0.6356,0.5736,0.6115,0.5362,0.3456,0.3319,58524,36513,0.624,65765,47605,0.7239
45,Kokrajhar,Assam,420105,382099,38005,0.9095,0.6083,0.4869,0.0701,0.0808,53865,43695,71693,0.4274,0.615,0.4739,0.5514,0.5619,0.7148,0.532,0.4165,0.3679,282690,168193,0.595,330350,268181,0.8118
46,Lakhimpur,Assam,346131,292953,53177,0.8464,0.5774,0.4866,0.0904,0.1599,27407,22363,65083,0.3077,0.4644,0.3118,0.557,0.5367,0.5272,0.4913,0.311,0.281,193781,128615,0.6637,168527,124931,0.7413
47,Marigaon,Assam,765617,546258,219358,0.7135,0.6085,0.451,0.0453,0.2437,84907,42232,120125,0.4333,0.6165,0.5182,0.6537,0.6304,0.6966,0.5291,0.5292,0.2653,474818,284979,0.6002,430509,319725,0.7427
48,Nagaon,Assam,2511352,2247134,264217,0.8948,0.5928,0.4534,0.0407,0.0443,168374,134513,469362,0.3062,0.6747,0.4997,0.5443,0.6554,0.5076,0.2743,0.2716,0.3765,2030387,1336898,0.6584,1025614,800406,0.7804
49,Nalbari,Assam,208835,194597,14237,0.9318,0.746,0.6237,0.0879,0.2403,18280,12355,47231,0.4009,0.5948,0.7662,0.5756,0.6091,0.4869,0.4773,0.6009,0.3074,180112,94018,0.522,103734,68342,0.6588
50,North Cachar Hills,Assam,445335,438733,6601,0.9852,0.6067,0.5332,0.1186,0.1343,28164,22503,89910,0.3589,0.7923,0.5492,0.5267,0.5286,0.6282,0.4326,0.4523,0.3265,456724,226813,0.4966,171564,134703,0.7852
51,Sibsagar,Assam,193058,139982,53075,0.7251,0.5742,0.4413,0.1375,0.0496,12960,11262,29106,0.3342,0.5663,0.4984,0.5527,0.7073,0.5741,0.6059,0.4135,0.3137,105674,51240,0.4849,82018,63263,0.7714
52,Sonitpur,Assam,492884,445824,47059,0.9045,0.6527,0.492,0.1439,0.0432,49236,25754,93892,0.365,0.4713,0.608,0.5249,0.6163,0.5287,0.4772,0.4315,0.2666,283716,186863,0.6586,253925,212388,0.8364
53,Tinsukia,Assam,177897,151985,25911,0.8543,0.6554,0.5234,0.0964,0.188,13153,16559,32528,0.3292,0.6247,0.5306,0.5781,0.6666,0.5336,0.4172,0.4492,0.3345,130282,85664,0.6576,100608,80583,0.801
54,Araria,Bihar,113720,99455,14264,0.8746,0.6023,0.4609,0.1633,0.0,13835,11621,18572,0.5553,0.5215,0.4857,0.5015,0.6827,0.5302,0.4111,0.4175,0.2503,62095,38154,0.6146,86197,61800,0.717
55,Aurangabad,Bihar,143619,123009,20609,0.8565,0.509,0.4441,0.2898,0.0,14276,12134,22459,0.4861,0.5958,0.3304,0.5059,0.6646,0.4844,0.4918,0.2391,0.4013,85792,44021,0.5131,89427,70604,0.7895
56,Banka,Bihar,1555082,1162982,392099,0.7479,0.4943,0.3433,0.1136,0.1775,213379,110638,224058,0.4536,0.5973,0.4229,0.6023,0.7372,0.6261,0.4582,0.3937,0.4669,858047,469823,0.5476,1097163,765468,0.6977
57,Begusarai,Bihar,219241,181766,37474,0.8291,0.6219,0.4649,0.1814,0.0,18824,19270,35852,0.5638,0.455,0.4696,0.5809,0.6201,0.5246,0.4014,0.4694,0.2331,104584,58267,0.5572,128991,96277,0.7464
58,Bhabua,Bihar,189988,147694,42293,0.7774,0.634,0.5776,0.107,0.2541,13059,13137,29445,0.4447,0.5545,0.6121,0.6143,0.6028,0.4589,0.4997,0.4824,0.2955,104680,72886,0.6963,88703,64102,0.7227
59,Bhagalpur,Bihar,236389,200237,36151,0.8471,0.6794,0.5985,0.0,0.2733,29437,24985,43573,0.484,0.4291,0.6344,0.6028,0.6817,0.6612,0.4664,0.503,0.2374,119876,84029,0.701,184279,142769,0.7748
60,Bhojpur,Bihar,311159,246104,65054,0.7909,0.6246,0.5301,0.0454,0.1639,36670,27602,58523,0.532,0.564,0.5245,0.567,0.5327,0.5179,0.5337,0.4527,0.3577,211618,133051,0.6287,217633,152592,0.7011
61,Buxar,Bihar,90713,81020,9692,0.8932,0.5567,0.4421,0.1378,0.2801,6523,3788,17312,0.5415,0.8004,0.5263,0.6232,0.6457,0.6688,0.5836,0.495,0.36,88838,51657,0.5815,34914,28917,0.8283
62,Darbhanga,Bihar,955523,816109,139413,0.8541,0.4656,0.3178,0.0868,0.0389,82536,60979,152157,0.5247,0.6965,0.3929,0.5346,0.5993,0.4861,0.4381,0.2162,0.4606,679473,427539,0.6292,485960,415244,0.8545
63,Gaya,Bihar,50000,47139,2860,0.9428,0.6031,0.5141,0.0578,0.1803,6631,3281,9735,0.5667,0.5942,0.5445,0.6164,0.631,0.6327,0.3566,0.5827,0.3587,37084,20055,0.5409,33563,26286,0.7833
64,Gopalganj,Bihar,316936,299612,17323,0.9453,0.6278,0.4484,0.1135,0.0278,31684,15849,60170,0.5929,0.609,0.6334,0.489,0.6075,0.632,0.3167,0.5664,0.3122,234937,126415,0.5381,160952,136874,0.8504
65,Jamui,Bihar,465683,400645,65037,0.8603,0.6506,0.4759,0.0921,0.0,23993,22070,83920,0.49,0.7231,0.4422,0.6665,0.6197,0.5061,0.4005,0.3215,0.3157,389063,220710,0.5673,155975,98397,0.6309
66,Jehanabad,Bihar,297732,237451,60280,0.7975,0.58,0.5221,0.0817,0.0,31210,22188,59325,0.4579,0.5268,0.5448,0.5639,0.5577,0.5185,0.5206,0.4492,0.3152,200372,107168,0.5349,180812,117888,0.652
67,Katihar,Bihar,158250,139107,19142,0.879,0.5693,0.4556,0.0406,0.1623,18685,9230,31024,0.4788,0.6882,0.5597,0.5468,0.5462,0.5424,0.4952,0.4027,0.2718,136885,77989,0.5698,94523,67488,0.714
68,Khagaria,Bihar,109391,88187,21203,0.8062,0.6863,0.5933,0.2037,0.0,10697,5150,21662,0.4621,0.474,0.5688,0.5767,0.7243,0.4297,0.4042,0.4668,0.2598,65827,35250,0.5356,53659,40941,0.763
69,Kishanganj,Bihar,452487,403912,48574,0.8926,0.6384,0.5844,0.0366,0.0,55730,40072,76583,0.4408,0.4622,0.5002,0.5506,0.6171,0.5444,0.4243,0.499,0.319,226942,146900,0.6473,324397,239511,0.7383
70,Lakhisarai,Bihar,762738,755110,7627,0.99,0.6201,0.4697,0.0875,0.0814,73565,57036,137870,0.4978,0.5384,0.5337,0.5342,0.6849,0.455,0.4817,0.4557,0.3732,475920,284235,0.5972,442231,276446,0.6251
71,Madhepura,Bihar,173393,164446,8946,0.9484,0.6288,0.5007,0.2375,0.1562,14923,9619,36384,0.443,0.6951,0.5483,0.5333,0.6551,0.501,0.564,0.47,0.2734,162147,108393,0.6685,83102,68572,0.8252
72,Madhubani,Bihar,232128,180505,51622,0.7776,0.7017,0.5557,0.2451,0.1106,22362,15430,35817,0.4677,0.4796,0.5115,0.6571,0.6461,0.6546,0.4388,0.4412,0.3257,110130,55357,0.5027,127968,114566,0.8953
73,Munger,Bihar,380145,294911,85233,0.7758,0.5804,0.5283,0.2758,0.1873,48633,34882,61384,0.5395,0.4411,0.6346,0.5845,0.6435,0.613,0.5566,0.5531,0.3542,173598,122036,0.703,282792,233226,0.8247
74,Muzaffarpur,Bihar,320987,263309,57677,0.8203,0.4965,0.4082,0.1774,0.0,34487,18917,49579,0.4806,0.7264,0.5453,0.5973,0.7021,0.626,0.3448,0.594,0.3182,230904,112066,0.4853,180832,148122,0.8191
75,Nalanda,Bihar,184234,146153,38080,0.7933,0.6081,0.47,0.2401,0.212,24034,12498,30628,0.442,0.7125,0.5188,0.6574,0.6041,0.6121,0.4866,0.5199,0.3268,139912,73456,0.525,123702,92935,0.7513
76,Nawada,Bihar,228133,205372,22760,0.9002,0.5487,0.4865,0.1718,0.0318,19401,22562,48122,0.4719,0.7259,0.3149,0.5454,0.6189,0.5478,0.5169,0.2494,0.3515,223960,115503,0.5157,142092,93548,0.6584
77,Pashchim Champaran,Bihar,142962,101598,41363,0.7107,0.4537,0.2895,0.1522,0.0659,19729,14572,20926,0.4567,0.8026,0.2261,0.6359,0.5647,0.5138,0.53,0.2536,0.4479,107681,68994,0.6407,116147,81957,0.7057
78,Patna,Bihar,267307,219129,48177,0.8198,0.5214,0.4584,0.2499,0.3005,33773,17074,43144,0.582,0.6541,0.5045,0.6198,0.5915,0.4986,0.4319,0.4707,0.3389,180933,103296,0.5709,172174,145979,0.8479
79,Purba Champaran,Bihar,402256,365746,36509,0.9092,0.8065,0.681,0.1005,0.1963,38741,22241,80105,0.5031,0.362,0.5676,0.6392,0.6886,0.5537,0.5844,0.417,0.2184,185921,107258,0.5769,206492,148816,0.7207
80,Purnia,Bihar,366292,332199,34092,0.9069,0.6137,0.5196,0.1967,0.0,34598,26651,75206,0.4723,0.5861,0.5482,0.6219,0.5457,0.5735,0.5322,0.4567,0.2928,282607,150645,0.5331,207397,149307,0.7199
81,Rohtas,Bihar,123779,104895,18883,0.8474,0.5431,0.4593,0.1695,0.0,15409,9951,25178,0.4804,0.6837,0.4858,0.5988,0.6357,0.4672,0.539,0.4712,0.3435,110367,54267,0.4917,85872,70099,0.8163
82,Saharsa,Bihar,303527,264592,38934,0.8717,0.582,0.4148,0.2163,0.0,19573,14008,59369,0.5285,0.502,0.4867,0.5774,0.548,0.5097,0.3691,0.444,0.3268,191082,120927,0.6329,113709,92810,0.8162
83,Samastipur,Bihar,50000,37184,12815,0.7437,0.5257,0.4052,0.1214,0.0846,5969,3687,7287,0.4874,0.5221,0.4714,0.6048,0.6451,0.5456,0.4516,0.3622,0.3157,24389,15374,0.6304,32696,21867,0.6689
84,Saran,Bihar,106030,96611,9418,0.9112,0.5912,0.4408,0.2612,0.0053,17518,7357,21973,0.5754,0.6197,0.5129,0.5442,0.588,0.4985,0.6293,0.3974,0.2843,87299,55459,0.6353,84229,59968,0.712
85,Sheikhpura,Bihar,198510,180994,17515,0.9118,0.6229,0.541,0.2191,0.2189,25218,14551,41443,0.4658,0.8564,0.5589,0.4909,0.6797,0.4537,0.5235,0.4645,0.273,227551,138110,0.607,134662,94520,0.7019
86,Sheohar,Bihar,181025,161028,19996,0.8895,0.544,0.4267,0.2818,0.0596,19085,10571,38445,0.5924,0.7825,0.502,0.6016,0.6202,0.4976,0.4958,0.4872,0.3389,192877,75213,0.39,100419,72713,0.7241
87,Sitamarhi,Bihar,920107,910905,9201,0.99,0.6057,0.4836,0.0694,0.0695,83834,97470,203222,0.5373,0.7586,0.5744,0.5357,0.6199,0.514,0.3376,0.4837,0.3113,988425,479344,0.485,613918,501184,0.8164
88,Siwan,Bihar,946233,854589,91643,0.9031,0.5591,0.4848,0.0,0.1259,57240,31635,158816,0.4946,0.6097,0.4989,0.5516,0.6454,0.5821,0.4623,0.3557,0.416,620827,369521,0.5952,300942,202493,0.6729
89,Supaul,Bihar,204908,202785,2122,0.9896,0.5501,0.4192,0.1499,0.129,32624,17671,40896,0.4404,0.6475,0.4619,0.4971,0.5478,0.6266,0.5112,0.4149,0.3284,169777,91877,0.5412,170305,137659,0.8083
90,Vaishali,Bihar,121565,104489,17075,0.8595,0.532,0.4225,0.1524,0.0461,11614,11209,23330,0.5562,0.7099,0.4574,0.5531,0.6144,0.5069,0.4803,0.399,0.3716,106181,55254,0.5204,77281,56165,0.7268
91,Chandigarh,Chandigarh,876545,17530,859014,0.02,0.6228,0.5114,0.1824,0.0,14281,11230,4317,0.0519,0.4542,0.5791,0.8712,0.773,0.7517,0.7415,0.543,0.2445,12566,8905,0.7088,86383,82062,0.95
92,Bastar,Chhattisgarh,472046,352047,119998,0.7458,0.5862,0.4969,0.2535,0.2953,47192,36780,69305,0.4014,0.5497,0.5861,0.5904,0.6327,0.4953,0.5772,0.5406,0.3439,244253,164275,0.6726,284340,217230,0.764
93,Bilaspur,Chhattisgarh,402162,336167,65994,0.8359,0.6159,0.5213,0.121,0.1561,27284,28177,67459,0.4261,0.6339,0.5287,0.5626,0.5919,0.6524,0.5424,0.4147,0.3028,274169,171072,0.624,187798,138445,0.7372
94,Dantewada,Chhattisgarh,490447,329195,161251,0.6712,0.721,0.5698,0.0341,0.0,29236,22435,78231,0.3654,0.4663,0.5339,0.6846,0.7013,0.5224,0.4722,0.3756,0.2396,233885,156120,0.6675,174964,142200,0.8127
95,Dhamtari,Chhattisgarh,475394,378073,97320,0.7953,0.6487,0.5282,0.0024,0.0363,25005,22346,84377,0.4762,0.5538,0.4901,0.6442,0.6614,0.6076,0.4988,0.3772,0.2972,299591,165436,0.5522,160336,115409,0.7198
96,Durg,Chhattisgarh,426010,310974,115035,0.73,0.654,0.552,0.1499,0.1983,43964,30529,69362,0.4071,0.4488,0.5937,0.5919,0.7361,0.5539,0.6132,0.4485,0.2451,199584,126383,0.6332,252242,158379,0.6279
97,Janjgir-Champa,Chhattisgarh,633397,492880,140516,0.7782,0.5666,0.4849,0.1124,0.1451,62544,40084,95760,0.442,0.655,0.5635,0.6854,0.6301,0.7136,0.4818,0.534,0.2699,402143,208964,0.5196,347511,252595,0.7269
98,Jashpur,Chhattisgarh,2561501,1690116,871384,0.6598,0.723,0.5892,0.1788,0.0942,230263,139459,323523,0.4577,0.5212,0.4506,0.6246,0.7575,0.4971,0.6106,0.4284,0.2407,1081110,653410,0.6044,1251926,905542,0.7233
99,Kanker,Chhattisgarh,216318,165522,50795,0.7652,0.545,0.3913,0.2512,0.0707,14521,12273,30106,0.3508,0.563,0.4301,0.5546,0.6134,0.5786,0.4815,0.4493,0.303,108668,49221,0.453,90727,57570,0.6346
100,Kawardha,Chhattisgarh,434273,380215,54057,0.8755,0.8166,0.6454,0.2505,0.1093,44406,22674,71371,0.4262,0.5456,0.6212,0.6168,0.8042,0.6279,0.4837,0.5558,0.2323,249664,130583,0.5231,227141,173931,0.7658
101,Korba,Chhattisgarh,118363,76522,41840,0.6465,0.6657,0.5607,0.1083,0.081,12820,11027,13915,0.4026,0.4889,0.609,0.7677,0.7319,0.6514,0.6216,0.4446,0.2958,43617,26896,0.6167,80749,50179,0.6215
102,Koriya,Chhattisgarh,1281252,1037256,243995,0.8096,0.6882,0.5968,0.2291,0.1537,136704,79051,200196,0.4531,0.4491,0.5437,0.7219,0.667,0.4979,0.5945,0.4147,0.248,576447,428969,0.7442,730574,527426,0.7219
103,Mahasamund,Chhattisgarh,191821,167706,24114,0.8743,0.6788,0.5315,0.131,0.0,13069,14618,40468,0.3446,0.6443,0.58,0.508,0.6972,0.506,0.5938,0.4627,0.323,167167,85324,0.5104,93751,74596,0.7957
104,Raigarh,Chhattisgarh,480041,331665,148375,0.6909,0.6515,0.6015,0.0975,0.0517,45452,35790,78002,0.3435,0.6899,0.4942,0.6443,0.7109,0.5241,0.5729,0.4088,0.2777,345023,191595,0.5553,275095,211690,0.7695
105,Raipur,Chhattisgarh,67645,47247,20397,0.6985,0.6016,0.4451,0.2467,0.0602,6128,5894,9933,0.44,0.5925,0.5163,0.6491,0.6252,0.546,0.5326,0.4367,0.2858,37731,23427,0.6209,40708,29245,0.7185
106,Raj Nandgaon,Chhattisgarh,1432649,837284,595364,0.5844,0.4799,0.4028,0.151,0.1628,110512,75501,159950,0.3838,0.7004,0.2809,0.6257,0.6063,0.5562,0.6763,0.2397,0.3888,718269,506920,0.7058,629863,444632,0.7059
107,Surguja,Chhattisgarh,782403,619515,162887,0.7918,0.5807,0.4724,0.1577,0.0802,103061,47424,143035,0.425,0.576,0.4925,0.5387,0.6218,0.4875,0.48,0.2906,0.2621,528232,321069,0.6078,509561,351029,0.6889
108,Dadra and Nagar Haveli,Dadra and Nagar Haveli,295467,112104,183362,0.3794,0.626,0.5044,0.322,0.2962,10944,11223,23704,0.1116,0.6543,0.5902,0.8394,0.8204,0.74,0.6417,0.4498,0.3479,99436,75905,0.7634,75060,59199,0.7887
109,Daman,Daman and Diu,163034,39651,123382,0.2432,0.598,0.475,0.1604,0.1239,6869,5674,7906,0.0306,0.5511,0.6829,0.8041,0.8687,0.7145,0.8158,0.6653,0.2414,27928,20677,0.7406,42472,35137,0.8274
